Epoch 1 - Accuracy: 0.9394, Precision: 0.0075, Recall: 0.2658, F1: 0.0129, Hits_at_k: 0.0006, full_accuracy: 0.0000 
Epoch 2 - Accuracy: 0.9843, Precision: 0.0161, Recall: 0.1957, F1: 0.0272, Hits_at_k: 0.0046, full_accuracy: 0.0000 
Epoch 3 - Accuracy: 0.9908, Precision: 0.0288, Recall: 0.1879, F1: 0.0462, Hits_at_k: 0.0004, full_accuracy: 0.0000 
Epoch 4 - Accuracy: 0.9922, Precision: 0.0354, Recall: 0.1814, F1: 0.0551, Hits_at_k: 0.0028, full_accuracy: 0.0000 
Epoch 5 - Accuracy: 0.9927, Precision: 0.0392, Recall: 0.1796, F1: 0.0597, Hits_at_k: 0.0039, full_accuracy: 0.0000 
Epoch 6 - Accuracy: 0.9932, Precision: 0.0433, Recall: 0.1764, F1: 0.0644, Hits_at_k: 0.0029, full_accuracy: 0.0000 
Epoch 7 - Accuracy: 0.9936, Precision: 0.0474, Recall: 0.1743, F1: 0.0688, Hits_at_k: 0.0014, full_accuracy: 0.0000 
Epoch 8 - Accuracy: 0.9938, Precision: 0.0485, Recall: 0.1717, F1: 0.0696, Hits_at_k: 0.0000, full_accuracy: 0.0000 
Epoch 9 - Accuracy: 0.9940, Precision: 0.0509, Recall: 0.1685, F1: 0.0716, Hits_at_k: 0.0041, full_accuracy: 0.0000 
Epoch 10 - Accuracy: 0.9941, Precision: 0.0520, Recall: 0.1673, F1: 0.0725, Hits_at_k: 0.0022, full_accuracy: 0.0000 
