Epoch 1 - Accuracy: 0.9971, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Hits_at_k: 0.0333, full_accuracy: 0.0000 
Epoch 2 - Accuracy: 0.9971, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Hits_at_k: 0.0284, full_accuracy: 0.0000 
Epoch 3 - Accuracy: 0.9971, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Hits_at_k: 0.0249, full_accuracy: 0.0000 
Epoch 4 - Accuracy: 0.9971, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Hits_at_k: 0.0289, full_accuracy: 0.0000 
Epoch 5 - Accuracy: 0.9971, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Hits_at_k: 0.0352, full_accuracy: 0.0000 
Epoch 6 - Accuracy: 0.9971, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Hits_at_k: 0.0287, full_accuracy: 0.0000 
Epoch 7 - Accuracy: 0.9971, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Hits_at_k: 0.0273, full_accuracy: 0.0000 
Epoch 8 - Accuracy: 0.9971, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Hits_at_k: 0.0264, full_accuracy: 0.0000 
Epoch 9 - Accuracy: 0.9971, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Hits_at_k: 0.0283, full_accuracy: 0.0000 
